HK,#genre#
翡翠台,http://sc2022.stream-link.org/tv2306.php?id=h01
翡翠台,http://sc2022.stream-link.org/tv2306.php?id=h02
翡翠台,https://pull-l3-cny.douyincdn.com/live/9c1137da796f8b8d2ceef7b876bf91fc.m3u8
翡翠台,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-47ed1e35-1f07-4c7a-814e-5b2181581795.m3u8?by=yeslivetv_com
TVB星河,http://sc2022.stream-link.org/tv2306.php?id=c02
TVB星河,http://113.117.74.45:8081/hls/135/index.m3u8
明珠台,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxEzv3SLBhKEUmYG73triGDY/ts
J2,http://sc2022.stream-link.org/tv2306.php?id=h03
J2,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-2217b642-a563-4037-bd99-cb19b7f6079f.m3u8?by=yeslivetv_com
J2,http://r.jdshipin.com/Nr5jq
NOW新闻台,https://pull-l3-cny.douyincdn.com/live/692e8eddff5600907dadc48a64ca13c1.m3u8
无线新闻,http://sc2022.stream-link.org/tv2306.php?id=h04
无线新闻,http://sc2022.stream-link.org/tv2306.php?id=h06
无线新闻,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-69aeaa71-0389-4974-92d3-5b6710ac0f90.m3u8?by=yeslivetv_com
无线新闻,http://pull-l3-cny.douyincdn.com/live/78625566800365445000YHTV.flv
无线财经,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-09afaab7-405f-47bc-aac9-8ae202205462.m3u8?by=yeslivetv_com
无线财经,http://sc2022.stream-link.org/tv2306.php?id=h05
无线财经,http://sc2022.stream-link.org/tv2306.php?id=h07
有线直播,http://61.10.2.145/live_freedirect/hd110_h.live/chunklist.m3u8
有线财经,http://sc2022.stream-link.org/list.php?id=h009
RTHK31,http://sc2022.stream-link.org/tv2306.php?id=h08
RTHK32,http://sc2022.stream-link.org/tv2306.php?id=h09
ViuTV,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-68466204-dbfa-47d8-9415-634aeb58a98f.m3u8?by=yeslivetv_com
ViuTV6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MD7D9950629799506297&ct=19234&tsum=83ba3013be3e325b775bcd348b38eab1
香港开电视,http://sc2022.stream-link.org/tv2306.php?id=h13
香港国际财经台,http://sc2022.stream-link.org/tv2306.php?id=h12
香港开电视资讯,http://sc2022.stream-link.org/tv2306.php?id=h14
凤凰资讯,http://sc2022.stream-link.org/tv2306.php?id=h15
凤凰中文,http://sc2022.stream-link.org/tv2306.php?id=h16
凤凰香港,http://sc2022.stream-link.org/tv2306.php?id=h17
翡翠台,http://113.117.74.45:8081/hls/67/index.m3u8
凤凰中文,http://113.117.74.45:8081/hls/36/index.m3u8
凤凰资讯,http://113.117.74.45:8081/hls/37/index.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://113.117.74.45:8081/hls/38/index.m3u8
天映频道,http://sc2022.stream-link.org/tv2306.php?id=c03

TW,#genre#
半岛新闻「阿拉伯」,https://inwild-samsungau.amagi.tv/playlist.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
Arirang 阿里郎,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
CNA,http://50.7.238.114:8278/cna/playlist.m3u8?tid=MFAF1272681512726815&ct=19225&tsum=4d6a781648283b1bb018bc5c098432d0
ABC News,http://50.7.238.114:8278/abcnews_glo/playlist.m3u8?tid=MAEA6759929367599293&ct=19225&tsum=edd59704e2182262583ea5b0e1093b9d
AnimalPlanet,http://198.16.100.90:8278/AnimalPlanet/playlist.m3u8?tid=MC3C3856400538564005&ct=19225&tsum=6255ab9649411a8a70c7cbf2ebd7eb23
Awani,http://198.16.100.90:8278/Awani/playlist.m3u8?tid=MB3B5555835155558351&ct=19225&tsum=148341f2ac3dfc57fd8bb8b2f6e4d190
